,amh,ara,dan,deu,eng,spa,fas,fin,fra,hun,ind,ita,kor,lav,nep,nld,nor,por,ron,swe,ukr,zho,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul
kin,12.0,7.0,4.0,6.0,5.0,12.0,4.0,6.0,14.0,17.0,3.0,8.0,12.0,13.0,8.0,13.0,12.0,8.0,10.0,7.0,16.0,9.0,17.0,18.0,6.0,17.0,6.0,11.0,0.0,1.0,3.0,12.0,4.0,6.0,13.0,11.0,9.0,3.0,15.0,16.0,3.0,8.0
lug,30.0,17.0,19.0,19.0,27.0,25.0,12.0,19.0,8.0,16.0,1.0,19.0,30.0,17.0,10.0,20.0,17.0,20.0,13.0,16.5,11.0,24.0,16.0,6.0,3.0,13.0,21.0,10.0,4.0,0.0,16.0,6.0,25.0,23.0,35.0,14.0,11.0,8.0,12.0,26.0,27.0,27.0
luo,20.0,24.0,22.0,27.0,13.0,23.0,3.0,21.0,28.0,8.0,2.0,25.0,26.0,19.0,13.0,23.0,22.0,24.0,27.0,29.0,25.0,10.0,7.0,4.0,9.0,5.0,3.0,35.0,17.0,18.0,0.0,7.0,28.0,3.0,8.0,27.0,12.0,4.0,3.0,12.0,9.0,4.0
mos,33.0,38.0,38.0,39.0,39.0,39.0,37.0,39.0,38.0,35.0,39.0,40.0,32.0,38.0,35.0,38.0,38.0,39.0,39.0,38.0,39.0,32.0,4.0,3.0,22.0,1.0,39.0,36.0,37.0,30.0,33.0,0.0,38.0,38.0,37.0,38.0,37.0,24.0,2.0,18.0,34.0,34.0
nya,26.0,13.0,11.0,10.0,8.0,9.0,20.0,24.0,7.0,26.0,24.0,10.0,28.0,16.0,9.0,18.0,14.0,18.0,18.0,14.0,10.0,28.0,14.0,7.0,7.0,14.0,5.0,14.0,13.0,2.0,8.0,16.0,0.0,4.0,20.0,9.0,4.0,2.0,6.0,32.0,25.0,15.0
pcm,13.0,10.0,13.0,14.0,1.0,15.0,2.0,16.0,23.0,6.0,8.0,18.0,11.0,4.0,1.0,9.0,6.0,13.0,12.0,10.0,12.0,6.0,9.0,16.0,10.0,15.0,1.0,6.0,3.0,11.0,7.0,14.0,11.0,0.0,33.0,5.0,3.0,12.0,13.0,15.0,2.0,11.0
sna,5.0,22.0,15.0,33.0,19.0,32.0,8.0,17.0,34.0,13.0,19.0,31.0,25.0,27.0,16.0,32.0,27.0,30.0,22.0,20.0,26.0,26.0,27.0,28.5,36.0,19.0,19.0,1.0,5.0,6.0,5.0,21.0,7.0,12.0,0.0,24.0,5.0,7.0,18.0,2.0,10.0,2.0
swa,11.0,8.0,14.0,16.0,18.0,13.0,18.0,13.0,2.0,31.0,18.0,12.0,9.0,11.0,2.0,17.0,16.0,12.0,14.0,16.5,7.0,7.0,10.0,15.0,1.0,18.0,11.0,3.0,2.0,9.0,1.0,8.0,1.0,5.0,28.0,0.0,2.0,1.0,21.0,34.0,4.0,13.0
tsn,31.0,19.0,28.0,21.0,31.0,19.0,25.0,25.0,16.0,36.0,12.0,22.0,14.0,30.0,22.0,27.0,19.0,17.0,29.0,31.0,28.0,27.0,15.0,9.0,29.0,20.0,20.0,4.0,21.0,12.0,9.0,10.0,14.0,16.0,22.0,16.0,0.0,6.0,10.0,20.0,12.0,14.0
twi,29.0,23.0,21.0,20.0,12.0,21.0,32.0,22.0,10.0,21.0,21.0,20.0,37.0,32.0,25.0,15.0,23.0,21.0,31.0,22.0,22.0,29.0,1.0,5.0,2.0,9.0,17.0,7.0,15.0,24.0,10.0,4.0,23.0,10.0,32.0,8.0,7.0,0.0,5.0,41.0,32.0,16.0
wol,38.0,39.0,37.0,38.0,32.0,35.0,35.0,31.0,37.0,23.0,37.0,35.0,34.0,37.0,28.0,35.0,35.0,36.0,37.0,37.0,37.0,36.0,6.0,8.0,16.0,3.0,27.0,30.0,36.0,21.0,17.0,3.0,36.0,27.0,38.0,34.0,32.0,22.0,0.0,10.0,17.0,24.0
xho,3.0,33.0,36.0,36.0,37.0,37.0,24.0,32.0,40.0,39.0,25.0,38.0,27.0,36.0,30.0,37.0,37.0,38.0,36.0,36.0,31.0,14.0,25.0,30.0,41.0,21.0,33.0,12.0,39.0,38.0,28.0,18.0,37.0,34.0,2.0,35.0,34.0,23.0,24.0,0.0,16.0,1.0
yor,27.0,29.0,26.0,32.0,10.0,24.0,10.0,27.0,31.0,18.0,11.0,28.0,31.0,18.0,5.0,25.0,21.0,26.0,26.0,23.0,19.0,17.0,12.0,14.0,8.0,11.0,2.0,2.0,12.0,3.0,4.0,11.0,15.0,2.0,11.0,19.0,10.0,13.0,17.0,5.0,0.0,5.0
zul,6.0,30.0,25.0,34.0,30.0,33.0,16.0,14.0,35.0,38.0,23.0,34.0,35.0,35.0,31.0,34.0,33.0,35.0,32.0,26.0,29.0,31.0,33.0,34.0,40.0,27.0,12.0,31.0,35.0,37.0,30.0,27.0,35.0,20.0,1.0,31.0,27.0,28.0,32.0,1.0,11.0,0.0
